dataset,model,attack,defense_name,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid
ACM,HAN,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.848913037776947,0.023501895423325047,0.820652186870575,0.8695651888847351,0.0296875,0.010186253758129139,0.0234375,0.046875,0.8328125,0.10165260426140099,0.6796875,0.9609375,0.9657246736560443,0.010100481487808776,0.9482758620689655,0.9732142857142857,0.03804349899291992,0.025491380744498377,0.010869622230529785,0.06521743535995483,True
ACM,HAN,relation,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.886956512928009,0.020479831532700016,0.864130437374115,0.907608687877655,0.0125,0.006987712429686843,0.0078125,0.0234375,0.98125,0.020372507516258277,0.9453125,0.9921875,0.9873487903225806,0.007285402284682822,0.9758064516129032,0.9921875,2.384185791015625e-08,0.02337588523349969,-0.027173876762390137,0.021739184856414795,True
ACM,HAN,uba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.87826087474823,0.015657474828425784,0.8586956262588501,0.8913043737411499,0.0078125,0.0078125,0.0,0.015625,0.978125,0.021678807696111888,0.9453125,1.0,0.9921378968253968,0.007875040992186774,0.9841269841269841,1.0,0.008695662021636963,0.012511828190536702,-0.005434811115264893,0.021739184856414795,True
ACM,HGT,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.860869562625885,0.03016183691418195,0.8152173757553101,0.8913043737411499,0.789130425453186,0.05718155895374963,0.6902173757553101,0.8369565010070801,0.1265625,0.03921843874378479,0.078125,0.171875,0.840625,0.25826191889242983,0.40625,1.0,0.7140625,0.2775142521677941,0.265625,0.921875,1.0,0.0,1.0,1.0,0.828260862827301,0.02125827735865567,0.8152173757553101,0.864130437374115,0.009375,0.012837247441527332,0.0,0.0234375,0.83125,0.2512541782923719,0.40625,1.0,0.990625,0.012837247441527332,0.9765625,1.0,0.03260869979858398,0.04012182856076194,-0.016304373741149902,0.07608699798583984,False
ACM,HGT,relation,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.860869562625885,0.03016183691418195,0.8152173757553101,0.8913043737411499,0.806521737575531,0.05305529469730149,0.7445651888847351,0.8804348111152649,0.1265625,0.03921843874378479,0.078125,0.171875,0.9984375,0.0034938562148434213,0.9921875,1.0,0.871875,0.03689287172849248,0.828125,0.9140625,1.0,0.0,1.0,1.0,0.8532608628273011,0.025779443866492533,0.8260869383811951,0.885869562625885,0.0125,0.015229366163764007,0.0,0.0390625,0.9859375,0.013975424859373685,0.9609375,0.9921875,0.9875,0.015229366163764007,0.9609375,1.0,0.0076086997985839845,0.03930368770577125,-0.03804349899291992,0.054347872734069824,True
ACM,HGT,uba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.860869562625885,0.03016183691418195,0.8152173757553101,0.8913043737411499,0.720652163028717,0.23444016880739388,0.30434781312942505,0.8695651888847351,0.1140625,0.011848242881330547,0.1015625,0.1328125,1.0,0.0,1.0,1.0,0.8859375,0.011848242881330547,0.8671875,0.8984375,1.0,0.0,1.0,1.0,0.857608699798584,0.02381404236662049,0.8260869383811951,0.8804348111152649,0.009375,0.006536406457297465,0.0,0.015625,0.990625,0.006536406457297465,0.984375,1.0,0.990625,0.006536406457297465,0.984375,1.0,0.0032608628273010252,0.02651372161726804,-0.027173936367034912,0.04347825050354004,True
ACM,HeteroSAGE,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.878260862827301,0.014172186048638645,0.8586956262588501,0.89673912525177,0.859782600402832,0.02011604669905784,0.8369565010070801,0.885869562625885,0.0828125,0.02954323500185787,0.0546875,0.125,0.5609375,0.10603148485827217,0.390625,0.671875,0.478125,0.08982676469878006,0.3359375,0.5859375,1.0,0.0,1.0,1.0,0.827173912525177,0.024122101368647612,0.7880434989929199,0.85326087474823,0.009375,0.0034938562148434213,0.0078125,0.015625,0.5515625,0.10917951280173858,0.375,0.6640625,0.9815829274751854,0.01210570971820555,0.96,0.9883720930232558,0.051086950302124026,0.011269786587264203,0.04347825050354004,0.07065212726593018,False
ACM,HeteroSAGE,relation,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.878260862827301,0.014172186048638645,0.8586956262588501,0.89673912525177,0.835869562625885,0.023501880261477925,0.8097826242446899,0.8695651888847351,0.0828125,0.02954323500185787,0.0546875,0.125,0.990625,0.013975424859373685,0.96875,1.0,0.9078125,0.042576333104495975,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.8923913240432739,0.00595351280212375,0.885869562625885,0.9021739363670349,0.01875,0.006987712429686843,0.0078125,0.0234375,0.971875,0.018814991529362963,0.9453125,0.9921875,0.9810243855606758,0.007182333853728267,0.9758064516129032,0.9921875,-0.0141304612159729,0.017442195430845468,-0.032608747482299805,0.01086956262588501,True
ACM,HeteroSAGE,uba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.878260862827301,0.014172186048638645,0.8586956262588501,0.89673912525177,0.845652163028717,0.023875948268000238,0.8152173757553101,0.8695651888847351,0.0828125,0.01711632992203644,0.0625,0.109375,1.0,0.0,1.0,1.0,0.9171875,0.01711632992203644,0.890625,0.9375,1.0,0.0,1.0,1.0,0.884782612323761,0.00595351280212375,0.875,0.8913043737411499,0.0125,0.008907620508587016,0.0,0.0234375,0.9875,0.008907620508587016,0.9765625,1.0,0.9875,0.008907620508587016,0.9765625,1.0,-0.006521749496459961,0.015080921142091409,-0.027173936367034912,0.01086956262588501,True
ACM,RGCN,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.866304349899292,0.02324919277746819,0.8369565010070801,0.89673912525177,0.852173924446106,0.08182912950764339,0.70652174949646,0.89673912525177,0.0875,0.02614562582918986,0.0546875,0.1171875,0.5734375,0.2086537249922105,0.265625,0.7734375,0.4859375,0.22591502308666858,0.1484375,0.71875,1.0,0.0,1.0,1.0,0.859782600402832,0.02118869818126147,0.8260869383811951,0.8804348111152649,0.0328125,0.020222154852413726,0.0078125,0.0625,0.540625,0.2223064686769708,0.203125,0.734375,0.9203494666510281,0.0894397995072756,0.7647058823529411,0.9879518072289156,0.006521749496459961,0.010454001288479174,-0.005434751510620117,0.02173912525177002,False
