sensitivity_group,param_value,attack,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid
poison_rate,0.05,relation,5,"1,2,3,4,5",0.7296875,0.15523105258774741,0.5703125,0.90625,0.0203125,0.021108212634541088,0.0,0.0546875,0.8793478369712829,0.02047984972274428,0.8478260636329651,0.9021739363670349,1.0,0.0,1.0,1.0,0.820652163028717,0.03804346067564966,0.7771739363670349,0.8586956262588501,0.075,0.011848242881330547,0.0625,0.09375,0.6546875,0.14868400584376923,0.5,0.8359375,0.0076086997985839845,0.0226050491364171,-0.02173912525177002,0.03804349899291992,False
poison_rate,0.05,uba,5,"1,2,3,4,5",0.8,0.1459077191241094,0.578125,0.984375,0.0125,0.008907620508587016,0.0,0.0234375,0.880434787273407,0.006656232706943929,0.8695651888847351,0.885869562625885,1.0,0.0,1.0,1.0,0.84673912525177,0.02412210002573717,0.8097826242446899,0.8695651888847351,0.08125,0.018814991529362963,0.0546875,0.1015625,0.71875,0.14905300022139775,0.484375,0.8984375,0.006521749496459961,0.010454024528750962,-0.005434751510620117,0.021739184856414795,False
poison_rate,0.05,cba,5,"1,2,3,4,5",0.4765625,0.17789527401149532,0.2265625,0.7265625,0.0765625,0.011587810136086974,0.0625,0.09375,0.87173912525177,0.013088694063819198,0.8586956262588501,0.885869562625885,1.0,0.0,1.0,1.0,0.784782612323761,0.06191837026945636,0.7010869383811951,0.85326087474823,0.075,0.014192111034831992,0.0546875,0.09375,0.4015625,0.1790580005979208,0.1484375,0.6484375,0.015217411518096923,0.012975377523127211,0.0,0.032608747482299805,False
poison_rate,0.075,relation,5,"1,2,3,4,5",0.8296875,0.18191553457236687,0.53125,0.96875,0.021875,0.012837247441527332,0.0078125,0.0390625,0.8739130616188049,0.011782337491616324,0.85326087474823,0.8804348111152649,1.0,0.0,1.0,1.0,0.828260862827301,0.01468397932997899,0.8152173757553101,0.85326087474823,0.075,0.011848242881330547,0.0625,0.09375,0.7546875,0.18351893422410126,0.4609375,0.890625,0.013043475151062012,0.012511812656164049,0.0,0.03260868787765503,False
poison_rate,0.075,uba,5,"1,2,3,4,5",0.8890625,0.14430937361273521,0.6796875,1.0,0.015625,0.009568319307746789,0.0,0.0234375,0.880434787273407,0.018430262095816757,0.8586956262588501,0.9021739363670349,1.0,0.0,1.0,1.0,0.739130437374115,0.246010231049238,0.30434781312942505,0.885869562625885,0.08125,0.018814991529362963,0.0546875,0.1015625,0.8078125,0.12962630333240627,0.609375,0.90625,0.006521749496459961,0.022209610207859977,-0.016304373741149902,0.032608747482299805,True
poison_rate,0.075,cba,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.06875,0.02304356438086348,0.046875,0.09375,0.883695662021637,0.008242267708093689,0.875,0.8913043737411499,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.0032608747482299806,0.009094157051471374,-0.005434811115264893,0.016304373741149902,False
poison_rate,0.1,relation,5,"1,2,3,4,5",0.91875,0.04897633755830462,0.859375,0.984375,0.0171875,0.00855816496101822,0.0078125,0.03125,0.880434787273407,0.009413317362051744,0.875,0.89673912525177,1.0,0.0,1.0,1.0,0.802173912525177,0.027336453121703047,0.7554348111152649,0.8260869383811951,0.075,0.011848242881330547,0.0625,0.09375,0.84375,0.05298695299316616,0.7890625,0.921875,0.006521749496459961,0.013532495139768045,-0.016304314136505127,0.016304373741149902,True
poison_rate,0.1,uba,5,"1,2,3,4,5",0.821875,0.2415187339071754,0.390625,0.9453125,0.0171875,0.00855816496101822,0.0078125,0.03125,0.877173912525177,0.013088711388462192,0.8586956262588501,0.8913043737411499,1.0,0.0,1.0,1.0,0.7826086997985839,0.06112619924085572,0.6739130616188049,0.820652186870575,0.08125,0.018814991529362963,0.0546875,0.1015625,0.740625,0.23634588001486295,0.3203125,0.875,0.009782624244689942,0.014067610263067723,-0.005434811115264893,0.027173936367034912,False
poison_rate,0.1,cba,5,"1,2,3,4,5",0.8296875,0.1621352577229117,0.6640625,1.0,0.05625,0.020222154852413726,0.0390625,0.078125,0.892391312122345,0.01406758147895921,0.875,0.907608687877655,1.0,0.0,1.0,1.0,0.6,0.23604106859884194,0.30434781312942505,0.804347813129425,0.075,0.014192111034831992,0.0546875,0.09375,0.7546875,0.17378203391749103,0.5859375,0.9453125,-0.005434775352478027,0.015371877614239105,-0.02173912525177002,0.01086956262588501,True
poison_rate,0.15,relation,5,"1,2,3,4,5",0.9390625,0.06332463790362326,0.859375,1.0,0.0125,0.008907620508587016,0.0,0.0234375,0.8749999880790711,0.01274569831459505,0.864130437374115,0.89673912525177,1.0,0.0,1.0,1.0,0.802173912525177,0.026233724428190896,0.7663043737411499,0.8260869383811951,0.075,0.011848242881330547,0.0625,0.09375,0.8640625,0.06385255231782047,0.7890625,0.9296875,0.011956548690795899,0.013532520274444945,-0.01086956262588501,0.021739184856414795,True
poison_rate,0.15,uba,5,"1,2,3,4,5",0.9546875,0.052524175981161283,0.890625,1.0,0.0140625,0.010186253758129139,0.0078125,0.03125,0.86847825050354,0.012975367536865842,0.85326087474823,0.885869562625885,1.0,0.0,1.0,1.0,0.809782612323761,0.04876183529625352,0.7554348111152649,0.864130437374115,0.08125,0.018814991529362963,0.0546875,0.1015625,0.8734375,0.06210814660734935,0.7890625,0.9453125,0.018478286266326905,0.014172192905858435,0.0,0.03804349899291992,True
poison_rate,0.15,cba,5,"1,2,3,4,5",0.8171875,0.28919971405479467,0.3203125,1.0,0.05625,0.03144470593359079,0.0234375,0.1015625,0.890217399597168,0.018188280263360716,0.8695651888847351,0.9130434989929199,1.0,0.0,1.0,1.0,0.5413043439388275,0.20264525360156854,0.30434781312942505,0.70652174949646,0.075,0.014192111034831992,0.0546875,0.09375,0.7421875,0.30095875444153475,0.2265625,0.9453125,-0.0032608628273010252,0.020551833608474186,-0.027173936367034912,0.016304373741149902,False
