robustness_group,robustness_value,attack,adaptive_variant,n_seeds,seeds,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,detection_recall_mean,detection_recall_std,detection_recall_min,detection_recall_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,all_attack_valid
inaccurate_detection_ratio,0.5,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.071875,0.052813886816111155,0.0078125,0.125,0.82826087474823,0.014172176905707188,0.8097826242446899,0.842391312122345,0.6625766871165644,0.0,0.6625766871165644,0.6625766871165644,0.4954128440366973,0.0,0.4954128440366973,0.4954128440366973,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.058695662021636966,0.012393217336041979,0.04347825050354004,0.07065218687057495,0.921875,0.05975413492491545,0.859375,0.9921875,0.9274193548387096,0.05345980312313384,0.875,0.9921875,True
inaccurate_detection_ratio,0.5,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0671875,0.0564990147867642,0.0,0.1328125,0.836956524848938,0.029267193060933266,0.7880434989929199,0.864130437374115,0.6625766871165644,0.0,0.6625766871165644,0.6625766871165644,0.4954128440366973,0.0,0.4954128440366973,0.4954128440366973,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.050000011920928955,0.03247254307589525,0.02173912525177002,0.10326087474822998,0.91875,0.05170435033679468,0.8671875,1.0,0.932277318640955,0.05616828229053482,0.8671875,1.0,True
inaccurate_detection_ratio,0.5,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.090625,0.03519962601896503,0.03125,0.125,0.868478262424469,0.025893771830073898,0.8369565010070801,0.9021739363670349,0.6557377049180327,0.0,0.6557377049180327,0.6557377049180327,0.4878048780487805,0.0,0.4878048780487805,0.4878048780487805,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.01847827434539795,0.023875978794995083,-0.016304373741149902,0.043478310108184814,0.5578125,0.2051134642170645,0.359375,0.8984375,0.8601633931525825,0.04564108425031147,0.8202247191011236,0.92,False
inaccurate_detection_ratio,0.75,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.053125,0.02096313728906053,0.0234375,0.0703125,0.836956512928009,0.030983025696702388,0.79347825050354,0.8695651888847351,0.8526315789473684,0.0,0.8526315789473684,0.8526315789473684,0.7431192660550459,0.0,0.7431192660550459,0.7431192660550459,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.05000002384185791,0.02645795457855025,0.021739184856414795,0.08695656061172485,0.940625,0.030055287596361478,0.8984375,0.9765625,0.9464213709677419,0.021447001981031662,0.9274193548387096,0.9765625,True
inaccurate_detection_ratio,0.75,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0296875,0.028384222069663984,0.0,0.0703125,0.858695650100708,0.030743763131005332,0.83152174949646,0.907608687877655,0.8526315789473684,0.0,0.8526315789473684,0.8526315789473684,0.7431192660550459,0.0,0.7431192660550459,0.7431192660550459,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.028260886669158936,0.03336973817273191,-0.02173912525177002,0.05978262424468994,0.95625,0.02954323500185787,0.9296875,1.0,0.9700821117014299,0.028243897991745263,0.9296875,1.0,True
inaccurate_detection_ratio,0.75,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.1140625,0.025073135212314395,0.09375,0.15625,0.866304349899292,0.016573870144272057,0.8478260636329651,0.885869562625885,0.8611111111111112,0.0,0.8611111111111112,0.8611111111111112,0.7560975609756098,0.0,0.7560975609756098,0.7560975609756098,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.020652186870574952,0.01406758147895921,0.005434811115264893,0.03804349899291992,0.534375,0.24184703892000622,0.234375,0.8984375,0.7977101609914852,0.11571469353411694,0.6,0.8984375,False
inaccurate_detection_ratio,1.0,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.00625,0.006536406457297465,0.0,0.015625,0.8717391133308411,0.008242259847675282,0.864130437374115,0.885869562625885,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.015217423439025879,0.012393212108371566,-0.005434751510620117,0.027173936367034912,0.9875,0.01620034480728728,0.9609375,1.0,0.9936995967741935,0.006552419354838709,0.984375,1.0,True
inaccurate_detection_ratio,1.0,uba,,5,"1,2,3,4,5",0.9859375,0.023696485762661094,0.9453125,1.0,0.0109375,0.006987712429686843,0.0,0.015625,0.87826087474823,0.015178524570434178,0.85326087474823,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9046875,0.03882741762434118,0.84375,0.9453125,0.008695662021636963,0.016573867212499083,0.0,0.03804349899291992,0.975,0.016937096397405312,0.9453125,0.984375,0.9890376984126984,0.006974054645102072,0.984375,1.0,True
inaccurate_detection_ratio,1.0,cba,,5,"1,2,3,4,5",0.6484375,0.22541465697271107,0.390625,1.0,0.0703125,0.012352647110032733,0.0546875,0.0859375,0.8815217614173889,0.011137998941133157,0.864130437374115,0.8913043737411499,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.5734375,0.2342186978819155,0.3203125,0.9453125,0.005434775352478027,0.012152540458592306,-0.01086956262588501,0.02173912525177002,0.578125,0.22330634262431956,0.3359375,0.9296875,0.8832195292541767,0.03420797038473675,0.8571428571428571,0.9296875,False
inaccurate_detection_ratio,1.25,relation,,5,"1,2,3,4,5",0.99375,0.013975424859373685,0.96875,1.0,0.0125,0.008907620508587016,0.0,0.0234375,0.863043463230133,0.007086078738494797,0.85326087474823,0.8695651888847351,0.889795918367347,0.0,0.889795918367347,0.889795918367347,1.0,0.0,1.0,1.0,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.91875,0.011848242881330547,0.90625,0.9296875,0.023913073539733886,0.009872760696587143,0.010869622230529785,0.032608747482299805,0.98125,0.021108212634541088,0.9453125,1.0,0.9873487903225806,0.009143011789047507,0.9758064516129032,1.0,True
