source_file,dataset,model,attack,seed,robustness_group,robustness_value,drop_detected_ratio,adaptive_variant,poison_rate,trigger_size,clean_acc,backdoored_clean_acc,clean_trigger_asr,poisoned_asr,learned_backdoor_gap,detection_precision,detection_recall,detection_f1,defense_clean_acc,defense_asr,asr_drop,utility_drop,relative_asr_reduction,original_suspicious,kept_suspicious,dropped_suspicious,attack_valid
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_cba_r0.075_seed1_20260515_005822.json,ACM,HAN,cba,1,inaccurate_detection_ratio,0.5,0.0,,0.075,12,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,0.4878048780487805,0.6557377049180327,0.85326087474823,0.1015625,0.5,0.03260868787765503,0.8311688311688312,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_cba_r0.075_seed2_20260515_011927.json,ACM,HAN,cba,2,inaccurate_detection_ratio,0.5,0.0,,0.075,12,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,0.4878048780487805,0.6557377049180327,0.8369565010070801,0.125,0.5703125,0.043478310108184814,0.8202247191011236,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_cba_r0.075_seed3_20260515_014016.json,ACM,HAN,cba,3,inaccurate_detection_ratio,0.5,0.0,,0.075,12,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,0.4878048780487805,0.6557377049180327,0.9021739363670349,0.03125,0.359375,-0.016304373741149902,0.92,,,,False
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_cba_r0.075_seed4_20260515_020119.json,ACM,HAN,cba,4,inaccurate_detection_ratio,0.5,0.0,,0.075,12,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,0.4878048780487805,0.6557377049180327,0.864130437374115,0.1015625,0.8984375,0.027173936367034912,0.8984375,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_cba_r0.075_seed5_20260515_022132.json,ACM,HAN,cba,5,inaccurate_detection_ratio,0.5,0.0,,0.075,12,0.8913043737411499,0.804347813129425,0.09375,0.5546875,0.4609375,1.0,0.4878048780487805,0.6557377049180327,0.885869562625885,0.09375,0.4609375,0.005434811115264893,0.8309859154929577,,,,False
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_relation_r0.200_seed1_20260515_005530.json,ACM,HAN,relation,1,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.885869562625885,0.70652174949646,0.09375,1.0,0.90625,1.0,0.4954128440366973,0.6625766871165644,0.842391312122345,0.09375,0.90625,0.04347825050354004,0.90625,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_relation_r0.200_seed2_20260515_011638.json,ACM,HAN,relation,2,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8804348111152649,0.7554348111152649,0.0625,0.96875,0.90625,1.0,0.4954128440366973,0.6625766871165644,0.8097826242446899,0.109375,0.859375,0.07065218687057495,0.8870967741935484,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_relation_r0.200_seed3_20260515_013720.json,ACM,HAN,relation,3,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.885869562625885,0.5163043737411499,0.0703125,1.0,0.9296875,1.0,0.4954128440366973,0.6625766871165644,0.8260869383811951,0.0234375,0.9765625,0.05978262424468994,0.9765625,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_relation_r0.200_seed4_20260515_015834.json,ACM,HAN,relation,4,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8913043737411499,0.842391312122345,0.0703125,1.0,0.9296875,1.0,0.4954128440366973,0.6625766871165644,0.820652186870575,0.125,0.875,0.07065218687057495,0.875,,,,True
results_robustness_acm_han_5seeds/robustness_inaccurate_detection_ratio_0.5_ACM_HAN_relation_r0.200_seed5_20260515_021840.json,ACM,HAN,relation,5,inaccurate_detection_ratio,0.5,0.0,,0.2,10,0.8913043737411499,0.820652186870575,0.078125,1.0,0.921875,1.0,0.4954128440366973,0.6625766871165644,0.842391312122345,0.0078125,0.9921875,0.04891306161880493,0.9921875,,,,True
