dataset,model,attack,defense_name,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_acc_drop_mean,clean_acc_drop_std,clean_acc_drop_min,clean_acc_drop_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_precision_mean,detection_precision_std,detection_precision_min,detection_precision_max,detection_recall_mean,detection_recall_std,detection_recall_min,detection_recall_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid,all_defense_effective
ACM,HAN,cba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.1728261172771454,0.20135851162261853,0.016304373741149902,0.5217391550540924,0.075,0.014192111034831992,0.0546875,0.09375,0.6484375,0.22541465697271107,0.390625,1.0,0.5734375,0.2342186978819155,0.3203125,0.9453125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8815217614173889,0.011137998941133157,0.864130437374115,0.8913043737411499,0.0703125,0.012352647110032733,0.0546875,0.0859375,0.578125,0.22330634262431956,0.3359375,0.9296875,0.8832195292541767,0.03420797038473675,0.8571428571428571,0.9296875,0.005434775352478027,0.012152540458592306,-0.01086956262588501,0.02173912525177002,False,False
ACM,HAN,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.07065218687057495,0.01843023133703396,0.04891306161880493,0.09239131212234497,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.847826075553894,0.01584496397527883,0.83152174949646,0.8695651888847351,0.0265625,0.014192111034831992,0.0078125,0.046875,0.8359375,0.10839403848055944,0.6796875,0.96875,0.9686938647251756,0.01666176695639538,0.9464285714285714,0.9913793103448276,0.0391304612159729,0.0160302785952855,0.021739184856414795,0.05434781312942505,True,True
ACM,HAN,feature,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.831521737575531,0.03543043940708895,0.79347825050354,0.8695651888847351,0.055434799194335936,0.038121029860692976,0.016304373741149902,0.09239131212234497,0.0953125,0.02614562582918986,0.0625,0.125,0.871875,0.07882498909768398,0.7578125,0.9609375,0.7765625,0.09704496179284632,0.6328125,0.8828125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8750000119209289,0.0066562327069172415,0.864130437374115,0.8804348111152649,0.021875,0.018652088103614566,0.0078125,0.0546875,0.85,0.0690865342794817,0.7421875,0.9140625,0.9756449237120165,0.018707429034698086,0.943089430894309,0.990909090909091,0.011956524848937989,0.00893026965662532,0.005434751510620117,0.027173936367034912,True,True
ACM,HAN,relation,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.15869565010070802,0.1282884827369599,0.04891306161880493,0.3695651888847351,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8717391133308411,0.008242259847675282,0.864130437374115,0.885869562625885,0.00625,0.006536406457297465,0.0,0.015625,0.9875,0.01620034480728728,0.9609375,1.0,0.9936995967741935,0.006552419354838709,0.984375,1.0,0.015217423439025879,0.012393212108371566,-0.005434751510620117,0.027173936367034912,False,True
ACM,HAN,sba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.6673913121223449,0.23396092942269017,0.30434781312942505,0.885869562625885,0.21956522464752198,0.23046940116574097,0.0,0.5760869979858398,0.0796875,0.018652088103614566,0.0546875,0.1015625,0.971875,0.06288941186718158,0.859375,1.0,0.8921875,0.07642685688372249,0.7578125,0.9453125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.876086974143982,0.0070861015958252815,0.864130437374115,0.8804348111152649,0.0203125,0.015229366163764007,0.0078125,0.046875,0.9515625,0.05751613224783113,0.8515625,0.984375,0.9794318181818182,0.01497566034913193,0.953125,0.990909090909091,0.01086956262588501,0.008593153191251831,0.0,0.02173912525177002,False,True
ACM,HAN,uba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.28043479919433595,0.27777535636546313,0.06521737575531006,0.5869565606117249,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.87826087474823,0.015178524570434178,0.85326087474823,0.8913043737411499,0.0109375,0.006987712429686843,0.0,0.015625,0.975,0.016937096397405312,0.9453125,0.984375,0.9890376984126984,0.006974054645102072,0.984375,1.0,0.008695662021636963,0.016573867212499083,0.0,0.03804349899291992,False,True
