dataset,model,attack,variant,variant_order,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max,all_attack_valid
ACM,HAN,relation,full,0,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.872826075553894,0.008242259847675282,0.864130437374115,0.885869562625885,0.0125,0.011848242881330547,0.0,0.0234375,0.98125,0.022507594204512395,0.9453125,1.0,0.9873487903225806,0.012026213902332758,0.9758064516129032,1.0,0.0141304612159729,0.004861016183433999,0.005434811115264893,0.016304373741149902,27.86211290359497,0.26443998948035874,27.482802867889404,28.164806842803955,True
ACM,HAN,relation,wo_structural_signal,1,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.866304337978363,0.008242267708093689,0.8586956262588501,0.875,0.0171875,0.017815241017174032,0.0,0.046875,0.9765625,0.019136638615493577,0.953125,1.0,0.9827620967741936,0.017782412359435933,0.953125,1.0,0.020652198791503908,0.007086099310108085,0.01086956262588501,0.027173936367034912,27.93855986595154,0.1701939644377359,27.703117847442627,28.125092029571533,True
ACM,HAN,relation,wo_feature_signal,2,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.869565212726593,0.01274571102234928,0.8586956262588501,0.8913043737411499,0.0140625,0.006536406457297465,0.0078125,0.0234375,0.9796875,0.01620034480728728,0.953125,0.9921875,0.9858366935483871,0.00657032680161701,0.9765625,0.9921875,0.017391324043273926,0.013532523865114889,-0.005434811115264893,0.027173936367034912,27.861541414260863,0.21214134116759842,27.537353515625,28.113063097000122,True
ACM,HAN,relation,wo_embedding_signal,3,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.8847826361656189,0.005953504640412307,0.8804348111152649,0.8913043737411499,0.0078125,0.0078125,0.0,0.015625,0.9859375,0.019452968121857393,0.953125,1.0,0.9920866935483871,0.007940707900527408,0.9838709677419355,1.0,0.002173900604248047,0.008242248057033615,-0.01086956262588501,0.01086956262588501,27.76395764350891,0.1191694729073673,27.625385522842407,27.90966773033142,True
ACM,HAN,relation,wo_hard_removal,4,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.84673912525177,0.02153435956586224,0.8152173757553101,0.8695651888847351,0.0484375,0.046351240544347895,0.0,0.1015625,0.9453125,0.05524271728019903,0.875,1.0,0.9509576612903226,0.04710396516647263,0.8984375,1.0,0.04021741151809692,0.019060523427981067,0.016304373741149902,0.06521743535995483,27.88766565322876,0.14549610712082842,27.673158645629883,28.05484127998352,True
ACM,HAN,relation,wo_trigger_purification,5,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.8706521630287171,0.013532521471326282,0.8586956262588501,0.8913043737411499,0.0109375,0.008907620508587016,0.0,0.0234375,0.9828125,0.018652088103614566,0.953125,1.0,0.9889616935483871,0.008976515940679467,0.9765625,1.0,0.016304373741149902,0.01385606305170303,-0.005434811115264893,0.032608747482299805,28.066585636138917,0.3674316444521092,27.578795671463013,28.54442071914673,True
ACM,HAN,relation,wo_trigger_unlearning,6,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,0.0,0.0,0.0,0.0,0.8760869622230529,0.01458305632497487,0.85326087474823,0.8913043737411499,0.140625,0.037057941330098196,0.1015625,0.1875,0.853125,0.03467553284558148,0.8125,0.8984375,0.8586189516129032,0.036494511248428944,0.8125,0.8984375,0.010869574546813966,0.01630434890590228,-0.005434811115264893,0.03260868787765503,19.16981511116028,0.1664398427095147,18.94778823852539,19.368832111358643,True
ACM,HAN,relation,wo_target_suppression,7,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,0.0,0.0,0.0,0.0,0.864130437374115,0.017186287533818657,0.842391312122345,0.885869562625885,0.003125,0.00427908248050911,0.0,0.0078125,0.990625,0.016937096397405312,0.9609375,1.0,0.9968245967741935,0.004349012773409365,0.9919354838709677,1.0,0.022826099395751955,0.020837267018754418,-0.005434751510620117,0.04891306161880493,27.64459710121155,0.3626959166982565,27.164936542510986,27.992658376693726,True
ACM,HAN,relation,only_hard_removal,8,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,0.0,0.0,0.0,0.0,0.8760869622230529,0.004547089211905214,0.8695651888847351,0.8804348111152649,0.1421875,0.02096313728906053,0.125,0.171875,0.8515625,0.03314563036811941,0.796875,0.875,0.856703629032258,0.022976077042275965,0.8225806451612904,0.875,0.010869574546813966,0.003842991794164275,0.005434751510620117,0.016304373741149902,19.220613288879395,0.2872572082814049,18.851417064666748,19.61539125442505,True
ACM,HAN,relation,only_unlearning,9,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,0.0,0.0,0.0,0.0,0.881521737575531,0.008930275097740727,0.8695651888847351,0.8913043737411499,0.003125,0.00427908248050911,0.0,0.0078125,0.990625,0.016937096397405312,0.9609375,1.0,0.9968245967741935,0.004349012773409365,0.9919354838709677,1.0,0.005434799194335938,0.010167552787551827,-0.005434751510620117,0.016304373741149902,27.907193613052367,0.2674134209730778,27.634641647338867,28.224624395370483,True
