dataset,model,attack,defense_name,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,all_attack_valid
ACM,HAN,cba,HeteroGuard-HR,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.6484375,0.22541465697271107,0.390625,1.0,0.5734375,0.2342186978819155,0.3203125,0.9453125,1.0,0.0,1.0,1.0,0.8869565248489379,0.01777764954751682,0.8695651888847351,0.9130434989929199,0.0796875,0.012837247441527332,0.0625,0.09375,0.56875,0.2223064686769708,0.3046875,0.90625,0.8653489306626274,0.05265620032548508,0.78,0.9101123595505618,1.1920928955078126e-08,0.01843024891350408,-0.02173912525177002,0.021739184856414795,False
ACM,HAN,cba,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.6484375,0.22541465697271107,0.390625,1.0,0.5734375,0.2342186978819155,0.3203125,0.9453125,1.0,0.0,1.0,1.0,0.883695662021637,0.008242267708093689,0.875,0.8913043737411499,0.06875,0.02304356438086348,0.046875,0.09375,0.5796875,0.2128386547804463,0.34375,0.90625,0.8895350278381217,0.03603062347936932,0.8309859154929577,0.9213483146067416,0.0032608747482299806,0.009094157051471374,-0.005434811115264893,0.016304373741149902,False
ACM,HAN,cba,NoDefense,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.075,0.014192111034831992,0.0546875,0.09375,0.6484375,0.22541465697271107,0.390625,1.0,0.5734375,0.2342186978819155,0.3203125,0.9453125,,,,,0.7141304194927216,0.19952388052461892,0.3695652186870575,0.8695651888847351,0.6484375,0.22541465697271107,0.390625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728261172771454,0.20135851162261853,0.016304373741149902,0.5217391550540924,False
ACM,HAN,clean_label,HeteroGuard-HR,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.844565212726593,0.011269798084823549,0.83152174949646,0.8586956262588501,0.128125,0.04508293139454221,0.0625,0.1875,0.734375,0.08821554523934542,0.640625,0.859375,0.853086497043171,0.04701151739510719,0.7857142857142857,0.9111111111111111,0.04239132404327393,0.011782338866300963,0.027173936367034912,0.054347872734069824,True
ACM,HAN,clean_label,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,1.0,0.0,1.0,1.0,0.848913037776947,0.023501895423325047,0.820652186870575,0.8695651888847351,0.0296875,0.010186253758129139,0.0234375,0.046875,0.8328125,0.10165260426140099,0.6796875,0.9609375,0.9657246736560443,0.010100481487808776,0.9482758620689655,0.9732142857142857,0.03804349899291992,0.025491380744498377,0.010869622230529785,0.06521743535995483,True
ACM,HAN,clean_label,NoDefense,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.075,0.011848242881330547,0.0625,0.09375,0.8625,0.10606026257215753,0.703125,0.9921875,0.7875,0.1020720391286223,0.6328125,0.9140625,,,,,0.816304349899292,0.01692651680961003,0.7989130616188049,0.8369565010070801,0.8625,0.10606026257215753,0.703125,0.9921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07065218687057495,0.01843023133703396,0.04891306161880493,0.09239131212234497,True
ACM,HAN,feature,HeteroGuard-HR,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.831521737575531,0.03543043940708895,0.79347825050354,0.8695651888847351,0.0953125,0.02614562582918986,0.0625,0.125,0.871875,0.07882498909768398,0.7578125,0.9609375,0.7765625,0.09704496179284632,0.6328125,0.8828125,1.0,0.0,1.0,1.0,0.884782612323761,0.016926547430253958,0.8695651888847351,0.9130434989929199,0.0703125,0.009568319307746789,0.0625,0.0859375,0.8015625,0.08388893559716323,0.6875,0.8984375,0.9184426681343424,0.015645053245157345,0.8990825688073395,0.9349593495934959,0.002173924446105957,0.01866910684818102,-0.027173936367034912,0.016304373741149902,True
ACM,HAN,feature,HeteroGuard-Unlearn,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.831521737575531,0.03543043940708895,0.79347825050354,0.8695651888847351,0.0953125,0.02614562582918986,0.0625,0.125,0.871875,0.07882498909768398,0.7578125,0.9609375,0.7765625,0.09704496179284632,0.6328125,0.8828125,1.0,0.0,1.0,1.0,0.8760869622230529,0.01178234848904371,0.8586956262588501,0.8913043737411499,0.0203125,0.008907620508587016,0.0078125,0.03125,0.8515625,0.08432434822235509,0.7265625,0.9375,0.9760695860450046,0.012074250402756267,0.9587628865979382,0.9915966386554622,0.010869574546813966,0.013856039672838877,-0.01086956262588501,0.027173936367034912,True
ACM,HAN,feature,NoDefense,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.831521737575531,0.03543043940708895,0.79347825050354,0.8695651888847351,0.0953125,0.02614562582918986,0.0625,0.125,0.871875,0.07882498909768398,0.7578125,0.9609375,0.7765625,0.09704496179284632,0.6328125,0.8828125,,,,,0.831521737575531,0.03543043940708895,0.79347825050354,0.8695651888847351,0.871875,0.07882498909768398,0.7578125,0.9609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055434799194335936,0.038121029860692976,0.016304373741149902,0.09239131212234497,True
ACM,HAN,relation,HeteroGuard-HR,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.7282608866691589,0.13009465976208515,0.5163043737411499,0.842391312122345,0.075,0.011848242881330547,0.0625,0.09375,0.99375,0.013975424859373685,0.96875,1.0,0.91875,0.011848242881330547,0.90625,0.9296875,1.0,0.0,1.0,1.0,0.888043487071991,0.01468397932997899,0.864130437374115,0.9021739363670349,0.0796875,0.021678807696111888,0.0625,0.1171875,0.9140625,0.019918044974971814,0.8828125,0.9296875,0.9199092741935484,0.021294542716597007,0.8828125,0.9354838709677419,-0.0010869503021240234,0.016484510852346326,-0.02173912525177002,0.02173912525177002,True
