dataset,model,attack,defense_name,sample_mode,node_budget_per_type,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_time_sec_mean,defense_time_sec_std,defense_time_sec_min,defense_time_sec_max,pretrain_time_sec_mean,pretrain_time_sec_std,pretrain_time_sec_min,pretrain_time_sec_max,detection_time_sec_mean,detection_time_sec_std,detection_time_sec_min,detection_time_sec_max,defense_train_time_sec_mean,defense_train_time_sec_std,defense_train_time_sec_min,defense_train_time_sec_max,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_std,peak_gpu_memory_mb_min,peak_gpu_memory_mb_max,processed_total_nodes_mean,processed_total_nodes_std,processed_total_nodes_min,processed_total_nodes_max,processed_total_edges_mean,processed_total_edges_std,processed_total_edges_min,processed_total_edges_max,processed_num_node_types_mean,processed_num_node_types_std,processed_num_node_types_min,processed_num_node_types_max,processed_num_edge_types_mean,processed_num_edge_types_std,processed_num_edge_types_min,processed_num_edge_types_max
OGBN-MAG,HeteroSAGE,relation,HeteroGuard-HR,budgeted_induced_subgraph,50000,3,"1,2,3",0.31409255663553876,0.007761991083730485,0.3052321970462799,0.31969279050827026,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2725309034188588,0.015791928095853943,0.258610337972641,0.28969159722328186,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,13.774572134017944,5.866334677519745,7.000719785690308,17.17020583152771,4.8372072378794355,2.1354604872740817,2.3713901042938232,6.071059465408325,0.5258735815684,0.11399250014403237,0.39426326751708984,0.5935046672821045,8.197113672892252,3.563019832217693,4.082970857620239,10.276139497756958,2383.3333333333335,148.78620007693365,2212.0,2480.0,158740.0,0.0,158740.0,158740.0,1017630.6666666666,69566.21916802245,937808.0,1065334.0,4.0,0.0,4.0,4.0,7.0,0.0,7.0,7.0
OGBN-MAG,HeteroSAGE,relation,HeteroGuard-Unlearn,budgeted_induced_subgraph,50000,3,"1,2,3",0.31409255663553876,0.007761991083730485,0.3052321970462799,0.31969279050827026,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2555702179670334,0.011467264240360426,0.2488299459218979,0.2688107490539551,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,18.868539094924927,8.256287624305907,9.335057735443115,23.664179801940918,4.836183230082194,2.1606238322405766,2.3413097858428955,6.084086179733276,0.5227591196695963,0.12825832386022304,0.374906063079834,0.604088544845581,13.267089366912842,5.909294502149715,6.443627119064331,16.684628009796143,2638.0,84.0,2542.0,2698.0,158740.0,0.0,158740.0,158740.0,1017630.6666666666,69566.21916802245,937808.0,1065334.0,4.0,0.0,4.0,4.0,7.0,0.0,7.0,7.0
OGBN-MAG,HeteroSAGE,uba,HeteroGuard-HR,budgeted_induced_subgraph,50000,3,"1,2,3",0.31409255663553876,0.007761991083730485,0.3052321970462799,0.31969279050827026,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25595023731390637,0.019480209159755325,0.236829474568367,0.27577102184295654,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,14.290344874064127,5.887345088451674,7.4928154945373535,17.766749382019043,5.017584323883057,2.143074352378,2.5432677268981934,6.2876927852630615,0.534243663152059,0.12424795353680684,0.3910024166107178,0.6128652095794678,8.499566952387491,3.56264750173385,4.385883569717407,10.582176685333252,2154.6666666666665,106.40175437150148,2032.0,2222.0,158740.0,0.0,158740.0,158740.0,1017630.6666666666,69566.21916802245,937808.0,1065334.0,4.0,0.0,4.0,4.0,7.0,0.0,7.0,7.0
OGBN-MAG,HeteroSAGE,uba,HeteroGuard-Unlearn,budgeted_induced_subgraph,50000,3,"1,2,3",0.31409255663553876,0.007761991083730485,0.3052321970462799,0.31969279050827026,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21984879672527313,0.013874310529514313,0.2106684297323227,0.23580943048000336,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,19.773555835088093,8.24555383639698,10.25252103805542,24.573827028274536,5.03391448656718,2.155667771323392,2.5447845458984375,6.287291049957275,0.5350358486175537,0.12774137761014415,0.38833069801330566,0.621657133102417,13.986299355824789,5.914937095261,7.1565423011779785,17.449081659317017,3031.3333333333335,120.02222016499,2926.0,3162.0,158740.0,0.0,158740.0,158740.0,1017630.6666666666,69566.21916802245,937808.0,1065334.0,4.0,0.0,4.0,4.0,7.0,0.0,7.0,7.0
